count,value

0,229

1,228

2,235

3,228

4,228

5,228

6,228

7,233

8,233

9,227

10,232

11,226

12,235

13,228

14,232

15,229

16,229

17,230

18,226

19,228

20,232

21,229

22,228

23,228

24,229

25,233

26,229

27,232

28,229

29,226

30,228

31,229

32,227

33,229

34,233

35,227

36,220

37,233

38,231

39,233

40,227

41,233

42,228

43,229

44,234

45,228

46,229

47,229

48,230

49,228

50,228

51,232

52,230

53,230

54,229

55,232

56,229

57,230

58,228

59,234

60,228

61,229

62,229

63,229

64,228

65,229

66,230

67,230

68,233

69,228

70,228

71,230

72,224

73,228

74,229

75,231

76,230

77,238

78,229

79,232

80,229

81,227

82,235

83,230

84,229

85,227

86,231

87,229

88,229

89,226

90,227

91,232

92,233

93,227

94,230

95,224

96,229

97,231

98,228

99,235

100,233

101,232

102,228

103,229

104,232

105,228

106,229

107,224

108,229

109,229

110,232

111,232

112,230

113,225

114,227

115,234

116,226

117,229

118,224

119,233

120,234

121,229

122,229

123,233

124,225

125,232

126,233

127,235

128,231

129,225

130,233

131,227

132,235

133,229

134,222

135,228

136,227

137,227

138,237

139,228

140,229

141,225

142,231

143,228

144,229

145,230

146,234

147,226

148,234

149,235

150,236

151,229

152,234

153,232

154,230

155,232

156,227

157,228

158,228

159,229

160,233

161,230

162,232

163,229

164,234

165,235

166,229

167,229

168,229

169,235

170,232

171,227

172,228

173,232

174,232

175,229

176,230

177,232

178,232

179,229

180,231

181,228

182,229

183,227

184,229

185,228

186,231

187,229

188,228

189,228

190,234

191,234

192,238

193,229

194,230

195,231

196,235

197,228

198,229

199,230

200,232

201,235

202,229

203,229

204,234

205,230

206,231

207,228

208,227

209,229

210,229

211,231

212,227

213,229

214,233

215,228

216,231

217,233

218,226

219,224

220,232

221,229

222,234

223,235

224,227

225,233

226,229

227,235

228,229

229,232

230,229

231,232

232,233

233,233

234,222

235,233

236,229

237,229

238,228

239,232

240,233

241,229

242,228

243,228

244,234

245,228

246,235

247,231

248,233

249,234

250,233

251,228

252,229

253,232

254,234

255,229

256,232

257,227

258,228

259,229

260,230

261,224

262,232

263,234

264,226

265,224

266,228

267,232

268,233

269,229

270,228

271,229

272,232

273,227

274,228

275,233

276,230

277,230

278,229

279,230

280,230

281,238

282,228

283,228

284,230

285,233

286,228

287,232

288,226

289,231

290,229

291,234

292,230

293,227

294,233

295,229

296,232

297,232

298,229

299,226

300,234

301,232

302,232

303,233

304,233

305,228

306,232

307,229

308,228

309,229

310,230

311,233

312,227

313,230

314,225

315,232

316,227

317,228

318,225

319,230

320,228

321,230

322,230

323,237

324,227

325,228

326,232

327,233

328,228

329,224

330,229

331,234

332,229

333,230

334,233

335,228

336,228

337,233

338,229

339,232

340,227

341,224

342,226

343,231

344,233

345,230

346,230

347,230

348,233

349,230

350,230

351,229

352,233

353,230

354,234

355,231

356,230

357,228

358,233

359,230

360,235

361,229

362,233

363,230

364,229

365,230

366,234

367,231

368,231

369,232

370,232

371,231

372,234

373,234

374,233

375,234

376,229

377,231

378,228

379,231

380,229

381,234

382,228

383,231

384,230

385,234

386,229

387,230

388,234

389,228

390,229

391,229

392,227

393,228

394,233

395,234

396,229

397,232

398,233

399,230

400,230

401,228

402,227

403,230

404,234

405,229

406,226

407,230

408,233

409,233

410,230

411,229

412,227

413,228

414,228

415,230

416,230

417,233

418,229

419,229

420,229

421,232

422,229

423,233

424,226

425,229

426,228

427,236

428,228

429,229

430,229

431,234

432,231

433,230

434,229

435,233

436,229

437,228

438,234

439,228

440,230

441,227

442,232

443,231

444,230

445,235

446,227

447,231

448,235

449,231

450,222

451,229

452,229

453,231

454,232

455,228

456,225

457,235

458,233

459,231

460,230

461,229

462,230

463,228

464,233

465,228

466,228

467,233

468,224

469,227

470,231

471,233

472,226

473,226

474,228

475,230

476,226

477,228

478,226

479,233

480,234

481,225

482,232

483,230

484,230

485,234

486,228

487,225

488,226

489,237

490,229

491,233

492,230

493,229

494,227

495,229

496,228

497,228

498,227

499,229

500,226

501,230

502,228

503,230

504,229

505,227

506,233

507,232

508,229

509,228

510,228

511,228

512,230

513,228

514,226

515,232

516,232

517,228

518,228

519,231

520,239

521,228

522,230

523,230

524,238

525,227

526,234

527,230

528,232

529,224

530,230

531,235

532,231

533,229

534,223

535,233

536,232

537,229

538,229

539,227

540,231

541,227

542,230

543,222

544,233

545,234

546,230

547,233

548,234

549,234

550,229

551,227

552,232

553,233

554,226

555,232

556,226

557,230

558,230

559,229

560,226

561,230

562,229

563,232

564,228

565,224

566,235

567,228

568,230

569,231

570,233

571,229

572,233

573,225

574,237

575,233

576,235

577,233

578,231

579,233

580,229

581,229

582,229

583,228

584,228

585,233

586,230

587,229

588,226

589,233

590,230

591,229

592,228

593,232

594,228

595,233

596,229

597,227

598,229

599,233

600,233

601,232

602,229

603,232

604,232

605,230

606,225

607,230

608,230

609,229

610,233

611,229

612,234

613,228

614,226

615,229

616,233

617,233

618,226

619,229

620,233

621,233

622,231

623,229

624,236

625,228

626,230

627,229

628,232

629,230

630,230

631,226

632,234

633,226

634,227

635,229

636,234

637,229

638,231

639,226

640,228

641,230

642,232

643,227

644,226

645,229

646,230

647,231

648,226

649,233

650,230

651,233

652,232

653,230

654,229

655,236

656,228

657,232

658,226

659,238

660,228

661,224

662,231

663,230

664,229

665,228

666,224

667,228

668,229

669,229

670,225

671,232

672,230

673,230

674,233

675,232

676,229

677,229

678,237

679,232

680,233

681,230

682,238

683,226

684,230

685,229

686,235

687,221

688,225

689,227

690,232

691,229

692,225

693,229

694,231

695,230

696,230

697,225

698,227

699,230

700,224

701,229

702,228

703,231

704,230

705,233

706,228

707,226

708,229

709,228

710,231

711,231

712,226

713,229

714,227

715,230

716,229

717,239

718,234

719,224

720,231

721,234

722,229

723,234

724,233

725,231

726,229

727,229

728,231

729,226

730,226

731,230

732,228

733,230

734,229

735,229

736,231

737,232

738,233

739,230

740,229

741,226

742,230

743,230

744,234

745,229

746,230

747,229

748,232

749,233

750,229

751,227

752,229

753,228

754,229

755,233

756,228

757,229

758,233

759,234

760,228

761,227

762,235

763,233

764,228

765,227

766,234

767,228

768,229

769,229

770,229

771,228

772,227

773,227

774,229

775,231

776,228

777,229

778,231

779,232

780,234

781,235

782,228

783,227

784,232

785,231

786,228

787,228

788,228

789,233

790,232

791,229

792,235

793,227

794,232

795,234

796,229

797,234

798,231

799,233

800,229

801,233

802,231

803,233

804,228

805,234

806,226

807,232

808,228

809,233

810,228

811,229

812,230

813,234

814,228

815,226

816,228

817,232

818,231

819,227

820,226

821,228

822,232

823,231

824,227

825,227

826,234

827,229

828,225

829,227

830,233

831,227

832,231

833,232

834,233

835,229

836,233

837,229

838,224

839,234

840,232

841,229

842,229

843,232

844,228

845,229

846,228

847,231

848,231

849,230

850,228

851,222

852,233

853,228

854,233

855,231

856,232

857,232

858,232

859,225

860,227

861,231

862,231

863,231

864,229

865,227

866,229

867,231

868,232

869,227

870,229

871,237

872,233

873,230

874,227

875,228

876,228

877,227

878,226

879,227

880,233

881,229

882,224

883,227

884,228

885,233

886,224

887,232

888,231

889,228

890,228

891,228

892,226

893,229

894,239

895,227

896,235

897,232

898,234

899,233

900,231

901,224

902,233

903,228

904,232

905,233
