count,value

0,338

1,340

2,337

3,355

4,342

5,343

6,338

7,338

8,339

9,339

10,337

11,340

12,338

13,339

14,341

15,345

16,338

17,341

18,340

19,340

20,340

21,341

22,344

23,344

24,342

25,338

26,337

27,338

28,341

29,341

30,355

31,341

32,343

33,340

34,338

35,338

36,338

37,339

38,338

39,341

40,342

41,341

42,350

43,338

44,338

45,340

46,341

47,337

48,342

49,337

50,340

51,337

52,341

53,338

54,338

55,343

56,340

57,339

58,338

59,339

60,341

61,339

62,338

63,339

64,343

65,339

66,338

67,339

68,338

69,340

70,340

71,340

72,352

73,341

74,339

75,339

76,338

77,340

78,343

79,343

80,339

81,338

82,338

83,340

84,340

85,343

86,338

87,342

88,340

89,338

90,338

91,338

92,341

93,341

94,339

95,339

96,343

97,339

98,338

99,338

100,339

101,341

102,354

103,342

104,340

105,343

106,340

107,339

108,339

109,338

110,339

111,341

112,343

113,339

114,341

115,338

116,355

117,341

118,338

119,339

120,339

121,355

122,339

123,344

124,338

125,344

126,340

127,342

128,340

129,339

130,340

131,343

132,336

133,338

134,338

135,340

136,338

137,342

138,340

139,342

140,339

141,339

142,337

143,338

144,338

145,338

146,338

147,341

148,338

149,341

150,338

151,337

152,340

153,340

154,338

155,340

156,343

157,338

158,342

159,340

160,338

161,340

162,338

163,339

164,340

165,340

166,342

167,340

168,338

169,338

170,353

171,341

172,340

173,339

174,340

175,341

176,337

177,338

178,342

179,338

180,339

181,340

182,342

183,341

184,340

185,340

186,339

187,338

188,338

189,341

190,340

191,338

192,339

193,341

194,342

195,339

196,343

197,342

198,340

199,351

200,338

201,340

202,340

203,338

204,337

205,339

206,339

207,341

208,342

209,343

210,338

211,340

212,343

213,341

214,338

215,338

216,344

217,338

218,338

219,339

220,342

221,339

222,339

223,349

224,343

225,341

226,340

227,338

228,341

229,344

230,338

231,340

232,343

233,340

234,338

235,341

236,338

237,339

238,339

239,341

240,338

241,338

242,342

243,341

244,341

245,340

246,340

247,338

248,339

249,341

250,339

251,340

252,349

253,336

254,341

255,340

256,343

257,344

258,344

259,343

260,340

261,337

262,340

263,340

264,342

265,344

266,341

267,354

268,338

269,342

270,338

271,340

272,339

273,346

274,339

275,341

276,348

277,340

278,340

279,338

280,341

281,340

282,338

283,338

284,337

285,340

286,338

287,341

288,339

289,340

290,344

291,342

292,338

293,337

294,338

295,340

296,338

297,338

298,340

299,340

300,340

301,342

302,342

303,340

304,340

305,349

306,339

307,338

308,339

309,339

310,355

311,339

312,339

313,339

314,340

315,352

316,338

317,338

318,340

319,341

320,353

321,339

322,345

323,342

324,339

325,341

326,340

327,340

328,338

329,338

330,342

331,339

332,337

333,338

334,344

335,341

336,341

337,340

338,337

339,341

340,339

341,338

342,341

343,338

344,354

345,338

346,339

347,339

348,344

349,340

350,338

351,338

352,341

353,339

354,338

355,340

356,344

357,338

358,338

359,341

360,341

361,339

362,338

363,352

364,345

365,343

366,338

367,343

368,340

369,340

370,341

371,337

372,338

373,339

374,339

375,341

376,341

377,339

378,354

379,344

380,345

381,339

382,343

383,341

384,338

385,338

386,339

387,338

388,338

389,336

390,339

391,340

392,341

393,342

394,338

395,339

396,340

397,345

398,338

399,338

400,338

401,342

402,352

403,339

404,344

405,340

406,337

407,342

408,342

409,341

410,339

411,340

412,341

413,338

414,340

415,342

416,342

417,339

418,340

419,338

420,341

421,338

422,341

423,344

424,338

425,340

426,339

427,344

428,337

429,338

430,338

431,343

432,338

433,340

434,338

435,344

436,338

437,339

438,338

439,344

440,342

441,339

442,336

443,340

444,339

445,338

446,353

447,340

448,338

449,339

450,342

451,341

452,341

453,337

454,341

455,338

456,341

457,336

458,340

459,340

460,337

461,341

462,343

463,337

464,338

465,349

466,339

467,344

468,338

469,338

470,355

471,343

472,339

473,341

474,341

475,340

476,337

477,338

478,338

479,338

480,354

481,339

482,343

483,339

484,344

485,353

486,339

487,338

488,341

489,338

490,353

491,338

492,340

493,339

494,339

495,339

496,342

497,340

498,340

499,340

500,340

501,339

502,338

503,340

504,351

505,340

506,339

507,343

508,342

509,339

510,338

511,338

512,338

513,339

514,340

515,341

516,342

517,339

518,341

519,338

520,339

521,336

522,338

523,339

524,339

525,338

526,339

527,339

528,339

529,343

530,342

531,341

532,342

533,342

534,339

535,338

536,338

537,341

538,339

539,341

540,339

541,341

542,338

543,349

544,340

545,345

546,342

547,339

548,351

549,338

550,339

551,337

552,342

553,343

554,341

555,338

556,339

557,338

558,341

559,338

560,339

561,338

562,343

563,339

564,337

565,341

566,340

567,342

568,338

569,338

570,337

571,341

572,341

573,343

574,337

575,340

576,342

577,345

578,341

579,343

580,337

581,340

582,339

583,338

584,338

585,343

586,342

587,340

588,338

589,342

590,339

591,340

592,339

593,341

594,339

595,338

596,349

597,341

598,339

599,339

600,339

601,341

602,338

603,338

604,342

605,338

606,343

607,339

608,342

609,340

610,336

611,338

612,343

613,341

614,338

615,340

616,344

617,339

618,338

619,336

620,353

621,344

622,338

623,339

624,340

625,342

626,337

627,342

628,339

629,338

630,338

631,341

632,339

633,339

634,339

635,340

636,340

637,339

638,340

639,340

640,338

641,338

642,338

643,340

644,338

645,352

646,343

647,344

648,342

649,338

650,339

651,345

652,338

653,340

654,338

655,338

656,339

657,339

658,338

659,339

660,336

661,344

662,338

663,339

664,339

665,342

666,339

667,337

668,342

669,343

670,343

671,342

672,341

673,340

674,340

675,339

676,341

677,340

678,339

679,339

680,343

681,341

682,344

683,354

684,342

685,339

686,340

687,338

688,344

689,340

690,341

691,339

692,341

693,355

694,341

695,339

696,339

697,338

698,341

699,342

700,340

701,340

702,352

703,337

704,340

705,340

706,341

707,343

708,337

709,338

710,342

711,338

712,355

713,340

714,340

715,338

716,342

717,343

718,346

719,339

720,338

721,340

722,343

723,339

724,337

725,345

726,338

727,341

728,340

729,343

730,341

731,340

732,339

733,340

734,338

735,338

736,338

737,343

738,338

739,342

740,341

741,341

742,338

743,338

744,339

745,339

746,338

747,336

748,338

749,340

750,338

751,336

752,342

753,339

754,340

755,338

756,338

757,339

758,344

759,342

760,354

761,344

762,339

763,342

764,340

765,339

766,336

767,339

768,338

769,339

770,352

771,344

772,338

773,339

774,346

775,355

776,339

777,338

778,338

779,337

780,339

781,338

782,339

783,339

784,338

785,355

786,339

787,341

788,339

789,339

