count,value

0,411

1,375

2,343

3,320

4,341

5,321

6,351

7,309

8,312

9,326

10,346

11,361

12,373

13,327

14,289

15,340

16,357

17,278

18,348

19,344

20,332

21,260

22,293

23,277

24,341

25,229

26,344

27,354

28,273

29,297

30,365

31,351

32,314

33,356

34,345

35,325

36,317

37,355

38,324

39,363

40,309

41,345

42,321

43,317

44,352

45,291

46,333

47,327

48,363

49,304

50,329

51,345

52,349

53,344

54,337

55,336

56,299

57,326

58,266

59,348

60,321

61,383

62,323

63,315

64,361

65,330

66,278

67,119

68,361

69,195

70,272

71,347

72,335

73,296

74,310

75,351

76,363

77,222

78,162

79,378

80,306

81,348

82,382

83,352

84,296

85,290

86,314

87,340

88,343

89,400

90,341

91,331

92,350

93,337

94,361

95,317

96,309

97,345

98,252

99,363

100,367

101,324

102,332

103,335

104,335

105,342

106,325

107,349

108,367

109,318

110,346

111,311

112,377

113,243

114,348

115,348

116,371

117,283

118,364

119,363

120,333

121,358

122,276

123,298

124,333

125,360

126,360

127,323

128,344

129,363

130,319

131,289

132,363

133,322

134,347

135,314

136,364

137,311

138,284

139,328

140,333

141,283

142,339

143,323

144,351

145,317

146,340

147,359

148,317

149,339

150,269

151,299

152,321

153,331

154,337

155,269

156,363

157,343

158,356

159,321

160,282

161,348

162,270

163,253

164,339

165,335

166,326

167,351

168,344

169,303

170,326

171,282

172,342

173,416

174,331

175,348

176,259

177,331

178,371

179,346

180,263

181,336

182,331

183,331

184,340

185,430

186,277

187,336

188,351

189,333

190,308

191,311

192,342

193,333

194,319

195,261

196,338

197,429

198,372

199,385

200,358

201,319

202,408

203,357

204,191

205,300

206,302

207,367

208,324

209,339

210,339

211,105

212,328

213,341

214,371

215,185

216,361

217,340

218,326

219,369

220,316

221,320

222,323

223,320

224,338

225,340

226,340

227,341

228,344

229,324

230,372

231,284

232,296

233,332

234,351

235,351

236,336

237,335

238,345

239,331

240,284

241,366

242,415

243,325

244,396

245,379

246,117

247,347

248,365

249,349

250,286

251,324

252,329

253,335

254,327

255,256

256,363

257,290

258,342

259,326

260,233

261,190

262,290

263,342

264,257

265,342

266,337

267,372

268,238

269,349

270,295

271,313

272,287

273,316

274,336

275,397

276,340

277,322

278,338

279,326

280,372

281,361

282,348

283,374

284,279

285,345

286,333

287,324

288,198

289,361

290,344

291,358

292,321

293,267

294,384

295,374

296,406

297,334

298,341

299,277

300,357

301,378

302,315

303,332

304,213

305,313

306,338

307,336

308,432

309,260

310,326

311,368

312,352

313,317

314,337

315,304

316,420

317,340

318,335

319,334

320,328

321,347

322,363

323,296

324,230

325,322

326,341

327,381

328,412

329,349

330,343

331,336

332,359

333,319

334,338

335,341

336,345

337,230

338,360

339,303

340,332

341,316

342,334

343,338

344,185

345,325

346,339

347,330

348,247

349,340

350,360

351,307

352,318

353,323

354,301

355,350

356,353

357,315

358,289

359,299

360,312

361,293

362,332

363,324

364,307

365,326

366,370

367,370

368,253

369,340

370,321

371,333

372,282

373,318

374,341

375,424

376,341

377,344

378,364

379,270

380,351

381,349

382,301

383,355

384,321

385,303

386,234

387,361

388,351

389,381

390,324

391,316

392,330

393,267

394,379

395,351

396,346

397,173

398,381

399,337

400,379

401,231

402,344

403,357

404,418

405,375

406,301

407,340

408,404

409,363

410,312

411,319

412,268

413,352

414,370

415,338

416,340

417,272

418,323

419,359

420,332

421,317

422,320

423,339

424,348

425,347

426,285

