count,value

0,352

1,323

2,338

3,320

4,333

5,318

6,334

7,342

8,326

9,334

10,269

11,289

12,362

13,306

14,337

15,349

16,336

17,346

18,341

19,319

20,340

21,321

22,324

23,356

24,343

25,321

26,337

27,336

28,343

29,358

30,320

31,331

32,336

33,322

34,343

35,322

36,337

37,324

38,331

39,352

40,305

41,333

42,286

43,347

44,253

45,334

46,318

47,347

48,338

49,345

50,309

51,355

52,331

53,351

54,343

55,341

56,325

57,297

58,332

59,307

60,323

61,329

62,363

63,320

64,353

65,348

66,350

67,306

68,345

69,333

70,293

71,326

72,346

73,269

74,326

75,315

76,320

77,328

78,352

79,338

80,355

81,340

82,326

83,337

84,341

85,299

86,334

87,344

88,275

89,329

90,320

91,353

92,327

93,348

94,321

95,342

96,354

97,335

98,322

99,338

100,336

101,399

102,320

103,335

104,356

105,212

106,353

107,351

108,344

109,411

110,318

111,325

112,339

113,339

114,351

115,321

116,324

117,323

118,313

119,341

120,346

121,338

122,331

123,359

124,344

125,350

126,262

127,344

128,235

129,360

130,258

131,338

132,362

133,371

134,367

135,346

136,268

137,346

138,318

139,345

140,311

141,320

142,315

143,299

144,367

145,362

146,363

147,350

148,334

149,333

150,322

151,319

152,327

153,356

154,351

155,304

156,327

157,320

158,335

159,333

160,256

161,397

162,326

163,357

164,320

165,343

166,320

167,396

168,275

169,336

170,328

171,338

172,349

173,307

174,341

175,293

176,320

177,332

178,319

179,348

180,337

181,319

182,338

183,405

184,335

185,315

186,331

187,338

188,363

189,353

190,331

191,351

192,321

193,341

194,347

195,329

196,329

197,348

198,347

199,358

200,324

201,346

202,323

203,334

204,340

205,349

206,295

207,327

208,348

209,386

210,314

211,360

212,332

213,289

214,341

215,328

216,362

217,319

218,330

219,342

220,336

221,294

222,320

223,322

224,355

225,343

226,352

227,335

228,324

229,338

230,338

231,335

232,326

233,343

234,336

235,332

236,350

237,209

238,340

239,262

240,334

241,367

242,345

243,344

244,345

245,297

246,341

247,285

248,338

249,345

250,313

251,344

252,319

253,288

254,353

255,318

256,337

257,362

258,342

259,349

260,335

261,325

262,328

263,355

264,311

265,327

266,335

267,346

268,331

269,334

270,336

271,331

272,343

273,349

274,326

275,343

276,336

277,340

278,346

279,337

