count,value

0,300

1,301

2,298

3,300

4,300

5,294

6,304

7,310

8,301

9,305

10,299

11,295

12,303

13,301

14,299

15,299

16,296

17,312

18,303

19,301

20,300

21,299

22,300

23,300

24,304

25,304

26,301

27,299

28,311

29,300

30,300

31,300

32,301

33,300

34,299

35,301

36,299

37,300

38,300

39,300

40,301

41,300

42,300

43,303

44,310

45,297

46,304

47,301

48,295

49,303

50,301

51,302

52,305

53,296

54,299

55,304

56,301

57,301

58,300

59,297

60,311

61,301

62,300

63,299

64,297

65,300

66,299

67,299

68,300

69,300

70,298

71,312

72,300

73,300

74,300

75,302

76,300

77,299

78,300

79,294

80,298

81,302

82,313

83,303

84,300

85,296

86,299

87,301

88,295

89,298

90,292

91,299

92,298

93,302

94,300

95,300

96,296

97,299

98,301

99,304

100,298

101,295

102,299

103,299

104,303

105,298

106,300

107,298

108,300

109,300

110,304

111,300

112,304

113,301

114,300

115,300

116,300

117,300

118,315

119,298

120,300

121,301

122,300

123,300

124,303

125,300

126,300

127,294

128,301

129,300

130,300

131,299

132,311

133,297

134,300

135,299

136,301

137,299

138,300

139,301

140,301

141,296

142,300

143,300

144,302

145,299

146,299

147,303

148,299

149,301

150,301

151,301

152,299

153,300

154,300

155,299

156,300

157,299

158,304

159,299

160,300

161,299

162,300

163,294

164,298

165,300

166,298

167,300

168,296

169,298

170,300

171,300

172,299

173,299

174,304

175,301

176,295

177,300

178,300

179,304

180,298

181,300

182,298

183,294

184,300

185,299

186,297

187,300

188,301

189,299

190,304

191,293

192,299

193,304

194,299

195,303

196,300

197,301

198,300

199,304

200,301

201,300

202,298

203,299

204,300

205,303

206,299

207,300

208,295

209,299

210,300

211,303

212,300

213,295

214,301

215,301

216,310

217,311

218,299

219,296

220,298

221,303

222,299

223,305

224,300

225,297

226,301

227,301

228,292

229,299

230,303

231,299

232,298

233,300

234,299

235,298

236,303

237,299

238,299

239,294

240,300

241,298

242,303

243,299

244,299

245,300

246,300

247,299

248,300

249,296

250,299

251,303

252,301

253,299

254,299

255,302

256,298

257,295

258,303

259,301

260,297

261,300

262,300

263,299

264,298

265,300

266,300

267,303

268,299

269,300

270,300

271,295

272,298

273,300

274,304

275,299

276,297

277,300

278,298

279,297

280,304

281,301

282,299

283,301

284,300

285,300

286,309

287,300

288,297

289,295

290,296

291,301

292,300

293,307

294,295

295,298

296,300

297,300

298,300

299,302

300,298

301,297

302,301

303,300

304,300

305,299

306,300

307,312

308,297

309,300

310,299

311,300

312,296

313,294

314,300

315,299

316,300

317,304

318,301

319,295

320,298

321,312

322,300

323,302

324,296

325,300

326,301

327,300

328,300

329,300

330,300

331,296

332,299

333,299

334,295

335,300

336,296

337,295

338,304

339,300

340,295

341,299

342,300

343,299

344,299

345,297

346,300

347,300

348,302

349,300

350,296

351,299

352,298

353,300

354,304

355,296

356,307

357,297

358,300

359,295

360,301

361,300

362,296

363,297

364,298

365,305

366,296

367,304

368,300

369,299

370,300

371,294

372,299

373,302

374,300

375,301

376,299

377,300

378,299

379,300

380,299

381,301

382,299

383,299

384,310

385,299

386,300

387,293

388,292

389,300

390,299

391,315

392,298

