count,value

0,392

1,399

2,382

3,391

4,377

5,387

6,382

7,400

8,372

9,382

10,372

11,371

12,397

13,329

14,410

15,307

16,385

17,394

18,411

19,411

20,311

21,406

22,411

23,397

24,360

25,389

26,399

27,350

28,379

29,399

30,394

31,300

32,387

33,384

34,380

35,354

36,385

37,365

38,382

39,383

40,391

41,397

42,341

43,394

44,393

45,380

46,385

47,397

48,399

49,383

50,411

51,396

52,332

53,393

54,403

55,377

56,360

57,404

58,390

59,385

60,402

61,407

62,359

63,356

64,374

65,383

66,409

67,403

68,396

69,394

70,396

71,403

72,420

73,384

74,378

75,369

76,399

77,392

78,369

79,396

80,363

81,389

82,366

83,403

84,379

85,389

86,361

87,392

88,389

89,372

90,393

91,391

92,418

93,377

94,374

95,399

96,409

97,385

98,391

99,396

100,374

101,393

102,383

103,378

104,387

105,401

106,415

107,438

108,404

109,374

110,373

111,374

112,391

113,393

114,392

115,366

116,384

117,393

118,407

119,386

120,391

121,404

122,392

123,407

124,398

125,409

126,339

127,352

128,386

129,408

130,341

131,372

132,342

133,391

134,398

135,381

136,384

137,407

138,387

139,366

140,412

141,316

142,381

143,388

144,412

145,392

146,380

147,328

148,381

149,364

150,308

151,385

152,397

153,378

154,378

155,354

156,365

157,363

158,383

159,390

160,411

161,383

162,388

163,354

164,405

165,391

166,327

167,389

168,383

169,399

170,332

171,387

172,372

173,383

174,389

175,412

176,399

177,387

178,399

179,387

180,405

181,375

182,403

183,395

184,400

185,408

186,368

187,387

188,341

189,392

190,352

191,384

192,387

193,351

194,370

195,375

196,435

197,308

198,407

199,408

200,382

201,380

202,390

203,320

204,393

205,392

206,386

207,394

208,370

209,403

210,394

211,382

212,400

213,353

214,381

215,395

216,382

217,370

218,379

219,408

220,403

221,412

222,393

223,303

224,388

225,344

226,374

227,383

228,394

229,371

230,389

231,396

232,348

233,401

234,338

235,390

236,353

237,390

238,373

239,310

240,386

241,348

242,380

243,408

244,399

245,389

246,389

247,356

248,332

249,392

250,409

251,387

252,399

253,388

254,392

255,384

256,417

257,392

258,385

259,390

260,345

261,350

262,404

263,383

264,402

265,401

266,387

267,398

268,390

269,402

270,360

271,401

272,377

273,346

274,349

275,374

276,387

277,349

278,385

279,395

280,384

281,401

282,374

283,371

284,392

285,320

286,290

287,390

288,399

289,402

290,381

291,399

292,422

293,404

294,384

295,390

296,384

297,405
