count,value

0,365

1,335

2,345

3,348

4,364

5,332

6,376

7,372

8,279

9,372

10,373

11,369

12,370

13,336

14,363

15,326

16,343

17,299

18,357

19,362

20,352

21,332

22,376

23,355

24,366

25,350

26,320

27,320

28,357

29,337

30,342

31,361

32,356

33,367

34,315

35,352

36,373

37,340

38,365

39,340

40,378

41,351

42,316

43,352

44,364

45,345

46,354

47,294

48,355

49,350

50,342

51,368

52,362

53,355

54,356

55,362

56,368

57,364

58,349

59,358

60,366

61,367

62,368

63,322

64,360

65,343

66,344

67,351

68,358

69,347

70,339

71,337

72,372

73,348

74,357

75,362

76,351

77,363

78,351

79,376

80,359

81,330

82,357

83,339

84,366

85,351

86,377

87,367

88,338

89,336

90,343

91,334

92,376

93,332

94,372

95,340

96,351

97,345

98,362

99,357

100,355

101,334

102,311

103,369

104,322

105,365

106,314

107,368

108,336

109,302

110,342

111,351

112,372

113,283

114,331

115,342

116,325

117,362

118,338

119,365

120,356

121,371

122,326

123,342

124,372

125,344

126,368

127,324

128,379

129,330

130,346

131,352

132,288

133,379

134,380

135,390

136,348

137,369

138,342

139,313

140,373

141,366

142,384

143,331

144,257

145,367

146,373

147,386

148,383

149,372

150,371

151,305

152,389

153,372

154,379

155,356

156,342

157,356

158,336

159,355

160,357

161,356

162,337

163,270

164,333

165,365

166,372

167,355

168,363

169,280

170,365

171,355

172,353

173,354

174,361

175,357

176,339

177,347

178,346

179,351

180,356

181,352

182,372

183,354

184,342

185,305

186,344

187,356

188,366

189,368

190,371

191,312

192,345

193,280

194,363

195,381

196,351

197,323

198,340

199,348

200,272

201,331

202,381

203,365

204,341

205,344

206,367

207,269

208,332

209,352

210,373

211,365

212,376

213,376

214,348

215,363

216,280

217,370

218,359

219,367

220,303

221,261

222,362

223,346

224,355

225,357

226,361

227,340

228,352

229,374

230,369

231,380

232,288

233,373

234,371

235,350

236,364

237,341

238,372

239,358

240,371

241,351

242,286

243,356

244,374

245,338

246,302

247,344

248,350

249,349

250,275

251,357

252,357

253,365

254,357

255,268

256,354

257,343

258,353

259,359

260,371

261,381

262,351

263,348

264,365

265,342

266,339

267,363

268,363

269,343

270,345

271,358

272,332

273,343

274,347

275,368

276,368

277,365

278,352

279,388

280,361

281,331

282,377

283,355

284,366

285,325

286,390

287,396

288,349

289,399

290,362

291,378

292,358

293,341

294,319

295,362

296,338

297,350

298,329

299,352

300,355

301,351

302,346

303,346

304,361

305,354

306,354

307,375

308,341

309,359

310,363

311,361

312,328

313,355

314,342

315,341

316,352

317,359

318,363

319,338

320,364

321,344

322,342

323,338

324,367

325,359

326,356

327,331

328,360

329,334

330,365

331,369

332,372

333,356

334,328

335,324

336,369

337,351

338,383

339,383

340,366

341,340

342,331

343,367

344,348

345,357

346,346

347,355

348,335

349,358

350,374

351,352

352,370

353,355

354,340

355,319

356,351

357,362

358,338

359,344

360,356

361,357

362,346

363,343

364,346

365,375

366,352

367,364

368,349

369,334

370,366

371,319

372,364

373,357

374,359

375,336

376,321

377,356

378,335

379,335

380,367

381,375

382,323

383,369

384,335

385,374

386,393

387,364

388,346

389,364

390,321

391,332

392,365

393,388

394,363

395,355

396,357

397,338

398,324

399,353

400,316

401,360

402,316

403,361

404,349

405,344

406,275

407,347

408,373

409,375

410,359

411,357

412,348

413,355

414,296

415,359

416,381

417,369

418,357

419,359

420,367

421,359

422,363

423,378

424,367

425,342

426,344

427,363

428,354

429,385

430,367

431,345

432,364

433,380

434,371

435,310

436,358

437,375

438,372

439,267

440,365

441,365

442,350

443,320

444,323

445,354

446,372

447,355

448,339

449,365

450,355

451,328

452,347

453,354

454,344

455,349

456,346

457,345

458,335

459,328

460,335

461,376

462,362

463,316

464,368

465,338

466,363

467,339

468,352

469,352

470,362

471,355

472,355

473,292

474,355

475,330

476,343

477,371

478,353

479,357

480,334

481,364

482,359

483,351

484,359

485,383

486,351

487,334

488,299

489,341

490,351

491,366

492,355

493,363

494,327

495,336

496,349

497,358

498,364

499,371

500,365

501,343

502,351

